volume,floorheight,diagCoorA,diagCoorB,diagCoorC,diagCoorD,diagCoorE,diagCoorF,diagCoorG,diagCoorH,diagCoorI,diagCoorJ
float,float,float,float,float,float,float,float,float,float,float,float
L,L,L,L,L,L,L,L,L,L,L,L
17.388,6,125.6107823,122.6952186,112.0611808,97.83118961,55.14121596,0,0,0,0,0
17.388,6,5.033089375,9.580558125,5.284068666,4.183459375,7.836324375,0,0,0,0,0
17.388,6,125.6107823,122.6952186,55.14121596,0,0,0,0,0,0,0
17.388,6,5.03255625,1.131975,1.199233125,0,0,0,0,0,0,0
17.388,6,107.7600976,55.14121596,55.14121596,0,0,0,0,0,0,0
17.388,6,5.11765625,1.199233125,4.97767125,0,0,0,0,0,0,0
17.388,6,107.7600976,70.1186045,70.1186045,55.14121596,0,0,0,0,0,0
17.388,6,5.11765625,1.19941875,1.200255,4.97767125,0,0,0,0,0,0
17.388,6,125.6107823,122.6952186,55.14121596,0,0,0,0,0,0,0
